Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
Pat Cummins,SRH,97,14,9,5,22*,24.25,58,167.24,0,0,6,7
Mayank Agarwal,RCB,95,4,4,1,41*,31.67,64,148.43,0,0,10,2
Manish Pandey,KKR,92,3,3,1,37,46,65,141.53,0,0,5,5
Kamindu Mendis,SRH,92,5,5,2,32*,30.67,69,133.33,0,0,7,2
Jonny Bairstow,MI,85,2,2,0,47,42.5,46,184.78,0,0,7,5
Marco Jansen,PBKS,75,14,8,4,34*,18.75,63,119.04,0,0,3,4
Rahmanullah Gurbaz,KKR,74,5,5,1,35,18.5,53,139.62,0,0,10,3
Shaik Rasheed,CSK,71,5,5,0,27,14.2,63,112.69,0,0,9,2
Romario Shepherd,RCB,70,8,3,1,53*,35,24,291.66,0,1,5,7
Urvil Patel,CSK,68,3,3,0,37,22.67,32,212.5,0,0,5,6
Jacob Bethell,RCB,67,2,2,0,55,33.5,39,171.79,0,1,9,3
Jofra Archer,RR,63,12,7,1,30,10.5,50,126,0,0,3,4
Abhinav Manohar,SRH,61,8,5,0,43,12.2,61,100,0,0,2,4
Azmatullah Omarzai,PBKS,57,9,5,1,21*,14.25,41,139.02,0,0,6,3
Harshit Rana,KKR,57,13,7,3,34,14.25,53,107.54,0,0,5,3
Jake Fraser - McGurk,DC,55,6,6,0,38,9.17,52,105.76,0,0,7,2
Rahul Tripathi,CSK,55,5,5,0,23,11,57,96.49,0,0,6,1
Glenn Maxwell,PBKS,48,7,6,0,30,8,49,97.95,0,0,5,1
Corbin Bosch,MI,47,2,2,0,27,23.5,32,146.87,0,0,3,3
Ramandeep Singh,KKR,47,11,7,2,22,9.4,35,134.28,0,0,1,4
Rashid Khan,GT,40,15,8,3,12,8,28,142.85,0,0,2,3
Mitchell Santner,MI,40,13,8,6,18*,20,33,121.21,0,0,2,3
Deepak Chahar,MI,37,14,4,3,28*,37,25,148,0,0,3,2
Ravichandran Ashwin,CSK,33,9,4,0,13,8.25,30,110,0,0,3,1
Deepak Hooda,CSK,31,7,5,0,22,6.2,41,75.6,0,0,2,1
Mohd Arshad Khan,GT,23,9,5,3,20,11.5,19,121.05,0,0,0,3
Sediqullah Atal,DC,22,1,1,0,22,22,16,137.5,0,0,0,2
Avesh Khan,LSG,21,13,4,3,19*,21,12,175,0,0,3,1
Harshal Patel,SRH,21,13,4,2,12*,10.5,26,80.76,0,0,0,0
Kusal Mendis,GT,20,1,1,0,20,20,10,200,0,0,1,2
Shardul Thakur,LSG,18,10,5,2,6,6,12,150,0,0,3,0
Kuldeep Yadav,DC,18,14,5,2,7,6,16,112.5,0,0,2,0
Gerald Coetzee,GT,17,4,2,0,12,8.5,11,154.54,0,0,2,1
Jamie Overton,CSK,15,3,2,2,11*,-,7,214.28,0,0,1,1
Anshul Kamboj,CSK,14,8,5,3,5*,7,12,116.66,0,0,2,0
Matthew Breetzke,LSG,14,1,1,0,14,14,12,116.66,0,0,1,1
Bhuvneshwar Kumar,RCB,14,14,6,3,8,4.67,25,56,0,0,1,0
Atharva Taide,SRH,13,1,1,0,13,13,9,144.44,0,0,3,0
Ravi Bishnoi,LSG,13,11,3,1,13,6.5,16,81.25,0,0,0,2
Harpreet Brar,PBKS,11,8,2,1,7*,11,13,84.61,0,0,0,1
Xavier Bartlett,PBKS,11,4,1,0,11,11,15,73.33,0,0,1,0
Mohammad Shami,SRH,10,9,4,3,6*,10,10,100,0,0,1,0
Dushmantha Chameera,DC,10,6,3,3,8*,-,14,71.42,0,0,0,0
Maheesh Theekshana,RR,10,11,4,2,5,5,27,37.03,0,0,0,0
Kagiso Rabada,GT,9,4,2,1,7*,9,8,112.5,0,0,0,1
Shahbaz Ahmed,LSG,9,3,1,0,9,9,8,112.5,0,0,1,0
Wiaan Mulder,SRH,9,1,1,0,9,9,11,81.81,0,0,1,0
Wanindu Hasaranga,RR,9,11,5,0,4,1.8,15,60,0,0,0,0
Kwena Maphaka,RR,8,2,1,1,8*,-,2,400,0,0,2,0
Raj Angad Bawa,MI,8,3,1,1,8*,-,4,200,0,0,0,0
Tushar Deshpande,RR,7,10,4,3,3,7,8,87.5,0,0,0,0
Suryansh Shedge,PBKS,7,5,3,0,4,2.33,11,63.63,0,0,0,0
Noor Ahmad,CSK,7,14,6,2,2*,1.75,17,41.17,0,0,0,0
Akash Deep,LSG,6,6,2,1,6*,6,2,300,0,0,0,1
Sandeep Sharma,RR,6,10,1,1,6*,-,5,120,0,0,0,0
Mitchell Starc,DC,6,11,6,4,2*,3,10,60,0,0,0,0
Robin Minz,MI,6,2,2,0,3,3,15,40,0,0,0,0
Rovman Powell,KKR,5,2,1,0,5,5,5,100,0,0,1,0
Sai Kishore,GT,5,15,3,0,3,1.67,10,50,0,0,0,0
Prince Yadav,LSG,5,6,2,2,4*,-,10,50,0,0,0,0
Moeen Ali,KKR,5,6,2,0,5,2.5,14,35.71,0,0,0,0
Lockie Ferguson,PBKS,4,4,1,1,4*,-,1,400,0,0,1,0
Yash Dayal,RCB,4,15,3,1,3,2,8,50,0,0,0,0
