Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
"Vyshak Vijaykumar
RCB",RCB,1,4,2,1,1*,1,3,33.33,0,0,0,0
"Ishant Sharma
DC",DC,1,9,2,2,1*,-,7,14.28,0,0,0,0
Jos Buttler,RR,17,17,2,863,116,57.53,579,149.05,4,4,83,0
K L Rahul,LSG,15,15,3,616,103*,51.33,455,135.38,2,4,45,0
Quinton De Kock,LSG,15,15,1,508,140*,36.29,341,148.97,1,3,47,0
Hardik Pandya,GT,15,15,4,487,87*,44.27,371,131.26,0,4,49,0
Shubman Gill,GT,16,16,2,483,96,34.5,365,132.32,0,4,51,0
David Miller,GT,16,16,9,481,94*,68.71,337,142.72,0,2,32,0
Faf Du Plessis,RCB,16,16,1,468,96,31.2,367,127.52,0,3,49,0
Shikhar Dhawan,PBSK,14,14,2,460,88*,38.33,375,122.66,0,3,47,0
Sanju Samson,RR,17,17,1,458,55,28.63,312,146.79,0,2,43,0
Deepak Hooda,LSG,15,14,0,451,59,32.21,330,136.66,0,4,36,0
Liam Livingstone,PBSK,14,14,2,437,70,36.42,240,182.08,0,4,29,0
David Warner,GT,12,12,3,432,92*,48,287,150.52,0,5,52,0
Abhishek Sharma,SRH,14,14,0,426,75,30.43,320,133.12,0,2,47,0
Ishan Kishan,MI,14,14,1,418,81*,32.15,348,120.11,0,3,45,0
Rahul Tripathi,SRH,14,14,3,413,76,37.55,261,158.23,0,3,40,0
Shreyas Iyer,KKR,14,14,1,401,85,30.85,298,134.56,0,3,41,0
Tilak Varma,MI,14,14,3,397,61,36.09,303,131.02,0,2,29,0
Aiden Markram,SRH,14,12,4,381,68*,47.63,274,139.05,0,3,25,0
Devdutt Padikkal,RR,17,17,0,376,54,22.12,306,122.87,0,1,40,0
Ruturaj Gaikwad,CSK,14,14,0,368,99,26.29,291,126.46,0,3,33,0
Nitish Rana,KKR,14,14,1,361,57,27.77,251,143.82,0,2,29,0
Virat Kohli,RCB,16,16,1,341,73,22.73,294,115.98,0,2,32,0
Rishabh Pant,DC,14,13,2,340,44,30.91,224,151.78,0,0,35,0
Andre Russell,KKR,14,12,3,335,70*,37.22,192,174.47,0,1,18,0
Rajat Patidar,RCB,8,7,1,333,112*,55.5,218,152.75,1,2,27,0
Dinesh Karthik,RCB,16,16,10,330,66*,55,180,183.33,0,1,27,0
Wriddhiman Saha,GT,11,11,1,317,68,31.7,259,122.39,0,3,40,0
Shimron Hetmyer,RR,15,15,8,314,59*,44.86,204,153.92,0,1,21,0
Nicholas Pooran,LSG,14,13,5,306,64*,38.25,212,144.33,0,2,16,0
Suryakumar Yadav,MI,8,8,1,303,68*,43.29,208,145.67,0,3,23,0
Glenn Maxwell,RCB,13,13,2,301,55,27.36,178,169.1,0,1,31,0
Shivam Dube,CSK,11,11,1,289,95*,28.9,185,156.21,0,2,22,0
Prithvi Shaw,DC,10,10,0,283,61,28.3,185,152.97,0,2,37,0
Ambati Rayudu,CSK,13,11,0,274,78,24.91,224,122.32,0,1,25,0
Rohit Sharma,MI,14,14,0,268,48,19.14,223,120.17,0,0,28,0
Yashasvi Jaiswal,RR,10,10,0,258,68,25.8,194,132.98,0,2,28,0
Jonny Bairstow,PBSK,11,11,0,253,66,23,175,144.57,0,2,34,0
Devon Conway,CSK,7,7,1,252,87,42,173,145.66,0,3,22,0
Mitchell Marsh,DC,8,8,0,251,89,31.38,189,132.8,0,2,19,0
Rovman Powell,DC,14,12,2,250,67*,25,167,149.7,0,1,10,0
Moeen Ali,CSK,10,10,0,244,93,24.4,177,137.85,0,1,24,0
Jitesh Sharma,PBSK,12,10,2,234,44,29.25,143,163.63,0,0,22,0
MS Dhoni,CSK,14,13,6,232,50*,33.14,188,123.4,0,1,21,0
Robin Uthappa,CSK,12,11,0,230,88,20.91,171,134.5,0,2,19,0
Shahbaz Ahmed,RCB,16,11,3,219,45,27.38,181,120.99,0,0,14,0
Rahul Tewatia,GT,16,12,5,217,43*,31,147,147.61,0,0,22,0
Kane Williamson,SRH,13,13,2,216,57,19.64,231,93.5,0,1,16,0
Bhanuka Rajapaksa,PBSK,9,9,0,206,43,22.89,129,159.68,0,0,16,0
Mayank Agarwal,PBSK,13,12,0,196,52,16.33,160,122.5,0,1,23,0
Ravichandran Ashwin,RR,17,12,5,191,50,27.29,135,141.48,0,1,14,0
Tim David,MI,8,8,3,186,46,37.2,86,216.27,0,0,12,0
Riyan Parag,RR,17,14,3,183,56*,16.64,132,138.63,0,1,11,0
Krunal Pandya,LSG,14,13,4,183,42,20.33,145,126.2,0,0,16,0
Axar Patel,DC,13,10,6,182,42*,45.5,120,151.66,0,0,12,0
Venkatesh Iyer,KKR,12,12,1,182,50*,16.55,169,107.69,0,1,17,0
Rinku Singh,KKR,7,7,2,174,42*,34.8,117,148.71,0,0,17,0
Sam Billings,CSK,8,8,1,169,36,24.14,138,122.46,0,0,9,0
Dewald Brevis,MI,7,7,0,161,49,23,113,142.47,0,0,14,0
Ayush Badoni,LSG,13,11,3,161,54,20.13,130,123.84,0,1,11,0
Lalit Yadav,DC,12,8,1,161,48*,23,146,110.27,0,0,11,0
Matthew Wade,GT,10,10,0,157,35,15.7,138,113.76,0,0,23,0
Marcus Stoinis,LSG,11,10,2,156,38*,19.5,106,147.16,0,0,7,0
Sai Sudharsan,GT,5,5,1,145,65*,36.25,114,127.19,0,1,14,0
Kieron Pollard,MI,11,11,1,144,25,14.4,134,107.46,0,0,6,0
Ajinkya Rahane,KKR,7,7,0,133,44,19,128,103.9,0,0,14,0
Anuj Rawat,RCB,8,8,0,129,66,16.13,118,109.32,0,1,10,0
Shardul Thakur,DC,14,10,2,120,29*,15,87,137.93,0,0,7,0
Shahrukh Khan,PBSK,8,8,1,117,26,16.71,108,108.33,0,0,4,0
Ravindra Jadeja,CSK,10,10,4,116,26*,19.33,98,118.36,0,0,6,0
Abhinav Manohar,GT,8,7,1,108,43,18,75,144,0,0,14,0
Washington Sundar,SRH,9,7,0,101,40,14.43,69,146.37,0,0,9,0
Rashid Khan,GT,16,8,4,91,40,22.75,44,206.81,0,0,3,0
Sarfaraz Khan,DC,6,5,2,91,36*,30.33,67,135.82,0,0,9,0
Manish Pandey,LSG,6,6,0,88,38,14.67,80,110,0,0,9,0
Mahipal Lomror,RCB,7,5,0,86,42,17.2,57,150.87,0,0,7,0
Aaron Finch,RCB,5,5,0,86,58,17.2,61,140.98,0,1,10,0
Rahul Chahar,RR,13,8,2,77,25*,12.83,68,113.23,0,0,7,0
Evin Lewis,PBSK,6,5,2,73,55*,24.33,56,130.35,0,1,8,0
Sunil Narine,KKR,14,10,2,71,22,8.88,40,177.5,0,0,6,0
Shashank Singh,PBSK,10,5,1,69,25*,17.25,47,146.8,0,0,5,0
Suyash S Prabhudessai,KKR,5,5,0,67,34,13.4,59,113.55,0,0,7,0
Pat Cummins,KKR,5,5,1,63,56*,15.75,24,262.5,0,1,5,0
Jaydev Unadkat,MI,5,5,2,59,19*,19.67,37,159.45,0,0,4,0
Romario Shepherd,RCB,3,3,1,58,26*,29,41,141.46,0,0,2,0
Jason Holder,LSG,12,8,2,58,16,9.67,44,131.81,0,0,2,0
Umesh Yadav,KKR,12,7,3,55,21,13.75,40,137.5,0,0,4,0
Odean Smith,PBSK,6,6,3,51,25*,17,44,115.9,0,0,1,0
Kagiso Rabada,PBSK,13,8,3,48,25,9.6,43,111.62,0,0,5,0
Kuldeep Yadav,DC,14,7,6,48,16*,48,52,92.3,0,0,3,0
